staid,stnwtcid,stnsite,stnnumber,stnname,stnstatus,statype,stncatchment,stnlatitude,stnlongitude,stnelevation,stnelevationhydro,stnelevationmet,stnelevationgeneral,stndatum,stneasting,stnnorthing,stnisin,stngeneraldescription,stnfunchydrometric,stnfuncgroundwater,stnfuncmeteorological,stnfuncwaterquality,stnfuncicemonitoring,stntemplategroundwater,stntemplatehydrometric,stntemplatewaterquality,stntemplateicemonitoring,stngroundwaterpipeheight,stngroundwaterdatum,stnhydrometricdatum,stnaafrd,stnaemonitoringbranch,stnaenvregion,stnaenvstationtype,stnarc,stnacquisitionmethod,stnacquisitionplatform,stnaffectedbyhumanactivity,stnaliasfires,stnaliasmscclimate,stnaliasmsctc,stnaliasmscwmo,stnaliasnewleaf,stnaliassnow,stnaliastsmlocation,stnaliastsmsite,stnaquifer,stnaquifertype,stnarchivedatacomments,stnarealextent,stnassessmentdatabasewellname,stnassessmentandinterpretation,stnbankproperties,stnbenchmarks,stnbridgeangle,stncbm,stnclbr,stnca,stncameravideo,stncatchmentsize,stnchemexcel,stncl,stncompletion,stnconversionfactor,stnconverttodatum,stndatacollection,stndateagreementsigned,stndatumofpublisheddata,stndepthm,stndepthclass,stndiametermm,stndistancetoconfluence,stndrainageareaeffective,stndrainageareagross,stndrainagebasin,stndrilldate,stndrought,stnelog,stnercblicence,stnercbwellname,stnelevationquality,stnendofavailabledata,stnenvnumber,stnequipmentassetvalue,stnequipmenttype,stnexpirydate,stnf,stnfe,stnfirstwqsampledate,stnformation,stngicwellid,stngamma,stngaugingtype,stngroundproperties,stnhg,stnhq,stninusesince,stnlsd,stnlandowner,stnlanduseagreement,stnlatlongquality,stnlegals,stnlithology,stnlocalandothercontacts,stnlocationdescription,stnmapsheet,stnmeridian,stnmg,stnmiscstationaliases,stnmiscstationaliasesremarks,stnmonitoring,stnmsllstation,stnnh4,stnno2no3,stnnrtstation,stnna,stnobswell,stnoperationalstatusdetails,stnoperator,stnowner,stnpercentownedbyaenv,stnperiodofoperationattr,stnposatriver,stnprimarywellnetwork,stnproductionm,stnprojectcode,stnprovincialstationid,stnprovincialstationwellname,stnpumptestdate,stnpumptesthrs,stnq20,stnqa,stnrange,stnremotestation,stnso4,stnsamplingcomments,stnsamplingdate,stnsecondarynumber,stnsection,stnshelterfloor,stnstationcodegown,stnsubbasin,stnsubwellnetwork,stnsurfacewaterinteraction,stnsurfacewaterobject,stntau,stntds,stnthmgcaco3l,stntran,stntsm,stntsmlongname,stnthermal,stntopofbank,stntownship,stntypeoflanduseagreement,stnutmzone,stnvalueofdata,stnwds,stnwdsstationno,stnwl,stnwmo,stnwqwellid,stnwaterobjecttype,stnwaterqualitytype,stnwebpublicstationstatus,stnwellconstructioncondcamerar,stnwellmaterials,stnwellreplacementcost,stnph,,statemplate
130777,1,AB,012345D,Agricultures Demo station in Lethbridge,Inactive,Hydrometric,,49.686752,-112.744957,,,,,0,,,---,,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,GOES,,,,,,,RDEMOLET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,RDEMOLET,,,,0,,,,AB Agriculture Food and Rural Development,AB Agriculture Food and Rural Development,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDEMOLET,,River,,,,,,,,RiverType4
251330,11557,AB,05AA000,Bragg Creek At Bracken Bridge,Established,Hydrometric,Oldman River-South Saskatchewan River,50,-114,,,,,0,,,---,,1,0,0,0,0,,RiverType3,,,,,0,,,,River/Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assumed Elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 M Staff Gauge,,,,,NW,,,,,,,Measuring location under bridge on Bracken Road.  Staff gauge   installed u/s of bridge approximately 30 meters.,-,4,,,,,1,,,,,,,AENV Mon. Br. Calgary,AENV,,,,,,,,,,,,,26,,,,,,17,,,,,,,,,,,,,,,16,,,,,,,,,River,,,,,,,,RiverType3
22506,11557,AB,05AA001,Oldman River near Cowley,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.605165,-114.047341,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 0.8 KM ABOVE CONFLUENCE WITH CROWSNEST RIVER,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60394,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,1940,1940,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE34-07-01-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Oldman River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21305,11557,AB,05AA002,Crowsnest River near Lundbreck,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.593401,-114.172968,,0,,,0,,,M.D. of Pincher Creek No. 9,AT TRAFFIC BRIDGE 1.6 KM NORTH OF LUNDBRECK,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60260,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,658,676,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE26-07-02-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Crowsnest River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21168,11557,AB,05AA003,Castle River near Cowley,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.523608,-114.031673,,0,,,0,,,M.D. of Pincher Creek No. 9,"""NEAR BRIDGE ON ROAD ALLOWANCE BETWEEN PINCHER CREEK AND COWLEY; 9.6 KM FROM EACH TOWN""",1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60246,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,1120,1120,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW02-07-01-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Castle River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21283,11557,AB,05AA005,Cow Creek near Cowley,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.654395,-114.159858,,0,,,0,,,M.D. of Pincher Creek No. 9,AT JOHN ROSS'S RANCH 8.0 KM NORTH OF LUNDBRECK,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60257,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,82.1,82.1,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE14-08-02-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Cow Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
23289,11557,AB,05AA006,Todd Creek at Elton's Ranch,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.658443,-114.127968,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 13.6 KM NORTH AND WEST OF COWLEY,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60465,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,144,144,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW19-08-01-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC/AENV,,,3,,,,,,,,,,,,,,,,,0,,,,,Todd Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21264,11557,AB,05AA007,Connelly Creek near Lundbreck,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.598709,-114.140419,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 34 KM NORTH OF COLEMAN ON HIGHWAY NO. 940 AND 5.4 KM SOUTH OF INTERSECTION OF HIGHWAY NO. 517.,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60255,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,51.5,51.5,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE36-07-02-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Connelly Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21303,11557,AB,05AA009,Crowsnest River near Coleman,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.63073,-114.554961,,0,,,0,,,Municipality of Crowsnest Pass,4.8 KM WEST OF COLEMAN RAILWAY STATION AND 4.8 KM DOWNSTREAM FROM CROWSNEST LAKE,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60259,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,167,167,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE12-08-05-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Crowsnest River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
20790,11557,AB,05AA010,Beaver Mines Creek near Beaver Mines,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.476418,-114.158249,,0,,,0,,,M.D. of Pincher Creek No. 9,NEAR G. BIRON'S RANCH ABOUT 16 KM FROM COWLEY,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60177,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,62.4,62.4,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE14-06-02-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Beaver Mines Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
22294,11557,AB,05AA011,Mill Creek near the Mouth,Active,Hydrometric,Oldman River-South Saskatchewan River,49.465494,-114.135372,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 13 KM WEST OF PINCHER CREEK AND 1.6 KM ABOVE CONFLUENCE WITH CASTLE RIVER,1,0,0,0,0,,RiverType4,,,,,0,,,,River/Stream,,,,,,,,,RMILLMOU,,1,60380,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,179,179,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW18-06-01-W5,,,,-,,,,,RMILLMOU,,,,1,,,,WSC - AB,EMSD,,03/01-10/31,3,,,,,,,,,,,,,,,,,0,,,,,Mill Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType4
23232,11557,AB,05AA012,Summit Creek at Crowsnest,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.630986,-114.694558,,0,,,0,,,Municipality of Crowsnest Pass,AT CROWSNEST,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,,,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,12.7,12.7,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW12-08-06-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,---,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
22190,11557,AB,05AA013,Mcgillivray Creek near Coleman,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.636132,-114.521202,,0,,,0,,,Municipality of Crowsnest Pass,ON LEFT BANK AT WEST SIDE OF COLEMAN 46 M ABOVE RAILWAY,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60370,,,,,,,---,,---,,,,,,,,,0, ,,,010 ASSUMED DATUM,,,,,32.6,32.6,,,,,,,,,,,,,,,,,,,,---,,,,,,,,NE07-08-04-W5,,,,-,,,,,,,,,0,,,,WSC - AB,EMSD,,,3,,,,,,,,,,,,,,,,,0,,,,,McGillivray Creek,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
21460,11557,AB,05AA014,Elton Ditch below Todd Creek,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.666667,-114.133333,,0,,,0,,,M.D. of Pincher Creek No. 9,"""ON ELTON'S RANCH; 11 KM NORTH OF COWLEY""",1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60286,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,0,0,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SW19-08-01-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,---,,,,,,,,0,,,,,,,,,,Canal,,,,,,,,RiverType5
21162,11557,AB,05AA015,Castle River at Mcdonald's Ranch,Discontinued,Hydrometric,Oldman River-South Saskatchewan River,49.499452,-114.277462,,0,,,0,,,M.D. of Pincher Creek No. 9,ABOUT 24 KM FROM COWLEY,1,0,0,0,0,,RiverType5,,,,,0,,,,River/Stream,,,,,,,,,,,1,60243,,,,,,,---,,---,,,,,,,,,0, ,,, ,,,,,757,757,,,,,,,,,,,,,,,,,,,,---,,,,,,,,SE25-06-03-W5,,,,-,,,,,,,,,0,,,,WSC - AB,WSC - AB,,,3,,,,,,,,,,,,,,,,,0,,,,,Castle River,,,,,,,,0,,,,,,,,,,River,,,,,,,,RiverType5
